CP_Hotellist;;
Grouped by Tier, URI and Query;;
;;
URI;Query;Count
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180710&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15&QueryUnits=0&selectedTransport=CgJWUxIDR09UGgNIRVIgDyoECPiUAjICNDE6AUU%3D&firstDisplayed=CgJWUxIDR09UGgNWQVIgDyoECPSUAjICMjE6AUU%3D;10
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180717&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C11&QueryUnits=1&selectedTransport=CgJWUxIDTU1BGgNDSFEgCCoECIaVAjICNDE6AUU%3D&orderBy=LP;10
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180812&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNBWVQgCCoECMKVAjICNjE6AUU%3D;8
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20181002&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;7
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180707&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C3%2C13&QueryUnits=0&filter=false&firstDisplayed=CgJWUxIDQVJOGgNQTUkgCCoECO6UAjICNjE6AUU%3D&selectedTransport=CgJWUxIDQVJOGgNQTUkgCCoECO6UAjICNjE6AUU%3D;7
/boka-resa;QueryDepID=2783&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180707&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDT1JCGgNTUFUgCCoECPyUAjICNjE6AUU%3D;7
/boka-resa;QueryDepID=2779&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180817&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42&QueryUnits=1&firstDisplayed=CgJWUxIDTExBGgNMQ0EgCCoECMCVAjICNTE6AUU%3D&selectedTransport=CgJWUxIDTExBGgNSSE8gCCoECMqVAjICMzE6AUU%3D;6
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180605&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C3%2C7%2C10&QueryUnits=1&firstDisplayed=CgJWUxIDR09UGgNQTUkgCCoECK6UAjICMjE6AUU%3D&selectedTransport=CgJWUxIDR09UGgNQTUkgCCoECK6UAjICMjE6AUU%3D;6
/boka-resa;QueryDepID=2788&QueryCtryID=22&QueryAreaID=0&QueryResID=319&QueryDepDate=20180820&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;6
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181018&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;5
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180521&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13,15&QueryUnits=0;5
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180516&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42&QueryUnits=0;5
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=183&QueryDepDate=20180726&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;5
/boka-resa;QueryDepID=2775&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180429&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;5
/boka-resa;QueryDepID=2782&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180605&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;5
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180721&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;5
/boka-resa;QueryDepID=2583&QueryCtryID=60&QueryAreaID=0&QueryResID=108230&QueryDepDate=20180627&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;5
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180530&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C9%2C11&QueryUnits=0;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180408&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=215&QueryDepDate=20180826&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=30&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181102&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180616&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDQVJOGgNLVkEgCCoECMSUAjICNjE6AUU%3D&orderBy=LP&firstDisplayed=CgJWUxIDQVJOGgNLVkEgCCoECMSUAjICNjE6AUU%3D;4
/boka-resa;QueryDepID=2770&QueryCtryID=56&QueryAreaID=124&QueryResID=0&QueryDepDate=20181127&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;4
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=227&QueryDepDate=20181226&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190117&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C5%2C9&QueryUnits=1;4
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180521&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13,15&QueryUnits=1;4
/boka-resa;QueryDepID=2770&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181024&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2774&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180902&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180504&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNQTUkgCCoECO6TAjICNTE6AUU%3D;4
/boka-resa;QueryDepID=2583&QueryCtryID=32&QueryAreaID=0&QueryResID=312&QueryDepDate=20180807&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180504&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&orderBy=LP;4
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=215&QueryDepDate=20180519&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C6&QueryUnits=1&selectedTransport=CgJWUxIDQVJOGgNBWVQgCCoECI6UAjICNzI6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180625&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180721&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2770&QueryCtryID=20&QueryAreaID=80056&QueryResID=0&QueryDepDate=20180818&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2788&QueryCtryID=30&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181228&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;4
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180603&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDTU1BGgNIRVIgCCoECLKUAjICNDE6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180621&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2&QueryUnits=1&orderBy=HGR&selectedTransport=CgJWUxIDQVJOGgNDSFEgCCoECM6UAjICNDE6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180602&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180717&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C7&QueryUnits=0&selectedTransport=CgJWUxIDTU1BGgNQTUkgCCoECIiVAjICNTE6AUU%3D&orderBy=LP;4
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=108&QueryResID=0&QueryDepDate=20180829&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42%2C42%2C14&QueryUnits=0&orderBy=LP;4
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180623&QueryDur=8&CategoryId=2&QueryRoomAges=|42,10,15&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180516&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNTUFUgCCoECIyUAjICNjE6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181102&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2583&QueryCtryID=25&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190110&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C1&QueryUnits=1;4
/boka-resa;QueryDepID=2583&QueryCtryID=16&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180806&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,12,15&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180717&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42&QueryUnits=0;3
/boka-resa;QueryDepID=2770&QueryCtryID=71&QueryAreaID=32383&QueryResID=0&QueryDepDate=20180602&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;3
/boka-resa;QueryDepID=11937&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180625&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C13%2C15&QueryUnits=0&filter=false&filterValue=ai&orderBy=LP&firstDisplayed=CgJWUxIDTU1BGgNMQ0EgDyoECNaUAjICMTE6AUU%3D&selectedTransport=CgJWUxIDTU1BGgNMQ0EgDyoECNaUAjICMTE6AUU%3D;3
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180818&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C4%2C2&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180517&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15%2C9%2C6&QueryUnits=0&orderBy=LP&selectedTransport=CgJWUxIDQVJOGgNDSFEgCCoECIiUAjICNDE6AUU%3D;3
/boka-resa;QueryDepID=2774&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180724&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,3,4,13,16&QueryUnits=0;3
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180708&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15&QueryUnits=0&selectedTransport=CgJWUxIDR09UGgNMQ0EgDyoECPKUAjICMTE6AUU%3D&firstDisplayed=CgJWUxIDR09UGgNSSE8gDyoECPCUAjICNzE6AUU%3D;3
/boka-resa;QueryDepID=2775&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180822&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190103&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,42,42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180710&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C7&QueryUnits=1;3
/boka-resa;QueryDepID=2583&QueryCtryID=69&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181203&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C5%2C7&QueryUnits=1;3
/boka-resa;QueryDepID=11937&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180825&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C0&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180615&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C16&QueryUnits=0&orderBy=LP;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180730&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;3
/boka-resa;QueryDepID=2583&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180724&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&firstDisplayed=CgJWUxIDQ1BIGgNQTUkgCCoECJCVAjICMjE6AUU%3D&selectedTransport=CgJWUxIDQ1BIGgNQTUkgCCoECJCVAjICMjI6AUU%3D;3
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180706&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15%2C17&QueryUnits=1&selectedTransport=CgJWUxIDR09UGgNBWVQgCCoECO6UAjICNjE6AUU%3D&firstDisplayed=CgJWUxIDR09UGgNQTUkgCCoECOyUAjICNTE6AUU%3D;3
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=54907&QueryDepDate=20190207&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42,42&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=30&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190222&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2774&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180902&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2&QueryUnits=1&filter=false&filterValue=ai;3
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180908&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180621&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2&QueryUnits=1&orderBy=HGR;3
/boka-resa;QueryDepID=2788&QueryCtryID=76&QueryAreaID=0&QueryResID=483&QueryDepDate=20181110&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180629&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;3
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180521&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C13%2C15&QueryUnits=0&orderBy=LP;3
/boka-resa;QueryDepID=2770&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180706&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&firstDisplayed=CgJWUxIDR09UGgNMQ0EgCCoECOyUAjICNTE6AUU%3D&selectedTransport=CgJWUxIDR09UGgNMQ0EgCCoECPKUAjICMTE6AUU%3D;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180615&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&orderBy=HP;3
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180504&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,6,2&QueryUnits=1;3
/boka-resa;QueryDepID=2787&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180428&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180720&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;3
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=108&QueryResID=0&QueryDepDate=20180620&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C13%2C16&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181116&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180707&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C1&QueryUnits=1&selectedTransport=CgJWUxIDQVJOGgNDSFEgCCoECO6UAjICNjE6AUU%3D;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180705&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,12,10&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=11&QueryAreaID=0&QueryResID=427&QueryDepDate=20181118&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180613&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNMUEEgCCoECL6UAjICMzE6AUU%3D&filter=false&filterValue=ai&orderBy=LP;3
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180426&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181029&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&orderBy=HGR;3
/boka-resa;QueryDepID=2773&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180909&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=259&QueryDepDate=20180901&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2583&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180802&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,12,15&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180922&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2%2C9%2C16&QueryUnits=0&firstDisplayed=CgJWUxIDQVJOGgNLVkEgCCoECIiWAjICNjE6AUU%3D&selectedTransport=CgJWUxIDQVJOGgNLVkEgCCoECIiWAjICNjE6AUU%3D;3
/boka-resa;QueryDepID=2583&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180620&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;3
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180829&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42%2C42%2C14&QueryUnits=0&orderBy=LP;3
/boka-resa;QueryDepID=2774&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180501&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15%2C15&QueryUnits=1;3
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=208&QueryDepDate=20180611&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;3
/boka-resa;QueryDepID=2788&QueryCtryID=16&QueryAreaID=0&QueryResID=327&QueryDepDate=20180805&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,16,16&QueryUnits=0;3
/boka-resa;QueryDepID=2770&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180922&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;3
/boka-resa;QueryDepID=2782&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180810&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C8&QueryUnits=0;3
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180629&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0;3
/boka-resa;QueryDepID=2769&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180513&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,10,6&QueryUnits=1;2
